symbol,logFC,FDR
Tinagl1,0.658023020065721,4.7348695080062e-4
Elmod3,0.924874470013306,4.76071073335517e-4
Stxbp4,-0.935670704938202,5.24157390061421e-4
Pik3cd,-0.802613533186354,5.25243910219385e-4
Cacna1i,2.3422023566063,5.34218848712716e-4
Abca1,0.725427161722813,5.79148160718907e-4
Ky,-1.08513972201338,6.06386084551746e-4
Gm12185,-2.93209220938387,6.06386084551746e-4
Scd2,-0.7739102214699,6.11040590984708e-4
Tgif1,1.03363715590174,6.11040590984708e-4
Cirbp,0.736703264625277,6.44089806799362e-4
Irf2bpl,-0.654612939068123,6.66087406203438e-4
Apoc1,3.13238906708613,6.87149452829616e-4
Tet1,-1.79300558906998,6.93638291550429e-4
Mid1ip1,-1.03479920223234,6.95686939493059e-4
Gm10638,1.49971375963148,7.15662108031011e-4
Aplnr,-0.912472960490869,7.60106539019388e-4
Clpx,0.825282523610192,8.10889292226863e-4
Llgl2,0.716872701328541,8.74573441215955e-4
Fras1,-1.6353760609107,8.74573441215955e-4
Gprc5c,-0.713281332083712,8.74573441215955e-4
Smad3,-0.676677504944,9.05216219000089e-4
Sel1l3,-0.631104095190666,9.10634424521369e-4
Dhcr7,-1.02231680097726,9.43082294106308e-4
2310057M21Rik,0.680489730553977,9.77703403443909e-4
2310015D24Rik,-0.761809097257924,9.77703403443909e-4
Gm20402,1.9849279372981,0.00101630631079263
Slc16a9,0.927290360384676,0.00106950161733937
Spsb1,0.909649093733525,0.00106950161733937
Hps5,-0.660912610705904,0.00112481398971849
Sh3kbp1,-1.07998064806149,0.00114541974010898
Col14a1,-1.08882703971364,0.00117215507840441
Nnmt,-1.90561181732762,0.00122814793815039
Klhl29,-0.853617098578047,0.00126949500451925
Phaf1,0.633909024933513,0.00126949500451925
Foxo3,0.695518043559645,0.00130496894851085
Gm14493,-1.17212255493092,0.00132240931961508
Jarid2,-0.709622046831387,0.00132757769268919
Tuba1a,-0.575822713945351,0.00132757769268919
D430041D05Rik,-1.02782175351493,0.0013651601154569
Cited4,-1.13123440600082,0.0013651601154569
Tnfaip3,-0.923828173931337,0.0013739145950136
Mocos,0.87063218636978,0.00138641367505604
Alb,4.85678680797966,0.00139396808217966
Arl8a,0.642310887765914,0.00141573943729112
Vwa3a,1.40358363560619,0.00143015770282943
Igfn1,1.38275229791019,0.00146862746397045
Plcd4,-1.08613498282391,0.0014854260464781
Nr4a3,1.32963203912434,0.0014854260464781
Tmtc1,-0.689921916093002,0.00150133747148463
Mfng,-1.0167620551459,0.00151086966922761
Plcd3,0.854037577447577,0.00157955634205748
Gsta3,2.3120819654977,0.00168008517540447
6230400D17Rik,0.867503776856012,0.0016923854536949
Armcx5,0.893425968679798,0.00177486506739555
Peg3,0.767391098695526,0.00188929777763345
Rorc,0.665316664274529,0.00188929777763345
Fam13c,0.698800450368717,0.00195303714456748
Ulk1,0.656746993076925,0.00213978943189702
Rsc1a1,1.18885142990363,0.00218177728218123
Macir,-0.892619200860064,0.00218177728218123
Sox18,0.674852201464014,0.00218177728218123
Gja1,-0.859449344897954,0.00218177728218123
Shroom3,1.22065278910887,0.0022602435159577
Flcn,0.573516093527852,0.00227393128519475
Lrrc30,0.620514937899722,0.00229604695005248
Sgk1,-0.781586748505641,0.00235175479121271
E230001N04Rik,1.79471448626331,0.00249957858466766
Trim35,-0.654205560020463,0.0025391724013974
Pim1,1.06387006279439,0.00261115214619907
Nr4a1,0.731825078388607,0.0026113274084868
Casr,-0.900782715932307,0.0026113274084868
Cnksr1,0.705762069992209,0.00266111169179183
Hgs,0.570665659635576,0.00271664601595856
Egflam,-0.606036004977337,0.00287272523170355
Slc45a4,-0.612190672749322,0.00288097842587452
Tead1,-0.714740630302342,0.00303332266032433
Rhobtb1,-0.6714908598575,0.00315981064057756
Tnfaip2,-0.847351695651819,0.00315981064057756
Tango2,0.873534144975926,0.00323364637701663
Slc35f5,0.577012699978098,0.00335706634049914
Dusp14,-0.889671835553939,0.00340082429120897
Klf10,0.768550083400902,0.0034886726755831202
4930481A15Rik,1.31122722008743,0.0034886726755831202
Slc25a22,1.11553207972308,0.00354674863724936
Rhpn2,0.95823491350356,0.00360889969156988
Tnik,-0.569991524199877,0.00364766564976156
Polr3e,0.618018808740645,0.00364766564976156
Sphk2,-0.561539814720724,0.00364766564976156
Gnl3,0.596646274350071,0.00377355454460795
1700101I11Rik,0.878198881556849,0.00384778995950829
Pnrc1,0.601981031540621,0.00407851969217476
Jak2,-0.634552167412076,0.00419317890147338
Slc41a3,-0.630239094037296,0.00419317890147338
Kbtbd13,-0.792274825278455,0.00423528541936822
Slco5a1,-0.827398908021711,0.0042765985569126
Odf2,0.654881369642205,0.0042765985569126
Pole,1.04524727468789,0.00438095568365423
Insc,-1.62465150977844,0.00438095568365423
Mettl21c,-0.916694309462353,0.00438884464169748
Filip1l,-0.548080491822644,0.0045786673635949
Sdc4,0.581805152395638,0.00489176740401618
Relt,-0.563220592569025,0.00501123964534031
Trp53inp2,-0.824257122601959,0.00514124871030735
Pcsk6,-0.558695615560027,0.00517165479493283
Lrrfip1,-0.699855214662804,0.0052723815484561
B3galnt2,-0.630502564734444,0.0052723815484561
Wbp1l,0.675594814738825,0.00533618399161548
Prodh,0.73644293294122,0.00544341256794316
Mapk1ip1,0.539578341274455,0.00567641122110916
