"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05165","mmu05165","Human papillomavirus infection","271/5355","362/9045",1.41486558130017e-10,1.11841755474204e-09,4.04247308942907e-10,"22370/23928/12833/12834/12843/14268/12842/12826/12643/12827/12835/18131/16777/21825/26427/12445/18596/12845/192897/21826/26941/13649/15007/14368/12830/12829/319480/56198/16773/14371/14362/20750/320910/16421/21923/216795/12006/12444/110157/16402/21414/53310/16400/11651/27060/22371/27061/16391/22084/12576/54131/13544/12028/11652/16151/66144/26395/18749/18747/56513/11789/11966/12540/12567/12387/51792/19053/11972/19211/21374/18132/16398/11974/16776/22411/14991/26931/17305/16362/54411/11973/11975/23797/15182/16775/19164/56480/23805/17246/19052/72508/16897/16416/217325/13543/59032/26932/56217/73834/19179/22031/21828/22418/71978/19645/66335/12914/15205/105782/14083/13383/56637/16419/15975/15976/22410/12575/17858/22339/19106/11984/12005/20662/66237/16774/93687/225849/14102/58988/19697/12015/21416/19719/12675/22215/16404/12566/15461/16412/93742/12912/12370/20846/12839/226519/16782/226849/16780/241226/64930/18128/16420/16401/16410/16403/16449/14683/19650/18706/12428/22414/18176/18129/13645/21827/18033/12448/74164/12913/16451/18710/433759/19744/56717/18762/13542/19303/23962/16848/93735/22419/16653/21937/14082/13685/16150/12367/142980/19651/18709/71609/270118/73699/54721/18746/245000/74769/22420/81877/114143/108664/11920/16399/20663/26396/103733/100038882/15015/22417/14370/18759/21871/208647/66290/104099/19664/76252/18707/19219/20847/12571/15213/14369/18708/52432/109700/56489/19699/235542/245026/56458/58220/14367/103768/14924/106759/101206/14366/57265/103806/11964/16779/231991/15042/328572/21415/15039/93737/12018/21770/22059/14784/15018/433586/14972/12695/26417/26413/107932/69116/55927/15040/12443/237336/110557/14964/12828/15024/93897/213119/19054",271
"mmu04068","mmu04068","FoxO signaling pathway","111/5355","131/9045",1.79407329940446e-10,1.38519147767972e-09,5.00671618438453e-10,"13197/20393/13649/384783/26420/12444/110157/11836/11651/109880/21803/12576/20869/26558/20848/11652/26395/16001/16337/241113/20656/21812/26556/19211/17873/18099/58231/20528/56486/23797/16000/93759/17246/21809/23882/20620/26419/67731/27373/12053/12914/29857/252870/12575/18607/20662/17128/12675/12566/216439/15461/20873/26557/170755/12359/12125/18534/18706/18176/13645/108079/12795/18710/108099/12452/19079/57436/16653/16150/19651/18709/93739/17127/21813/74769/67526/11920/68401/20663/26396/73251/108097/66822/21808/22035/18707/74551/18708/54601/56458/13611/13609/16369/56484/105787/329934/19094/26416/27401/328572/16598/16367/14784/26417/26413/19082/12443/12579/12176/12581/15469",111
"mmu05210","mmu05210","Colorectal cancer","79/5355","88/9045",1.86951552383316e-10,1.39411928291472e-09,5.03898535993271e-10,"13197/14281/13649/16476/26420/12006/110157/21414/11836/11651/19353/170770/107986/109880/21803/12028/11652/64143/26395/17688/11789/12387/21812/11848/56044/17686/17873/170758/23797/23805/72508/21809/23882/27015/26419/17869/56637/12575/17685/12005/20662/17128/17126/58988/12015/21416/15461/19730/12125/18706/18176/13645/18710/12371/56717/21802/16653/12367/18709/17127/21813/74769/17350/19354/20663/26396/21808/18707/72993/18708/21415/12043/12018/22059/14784/26417/26413/13063/12443",79
"mmu04261","mmu04261","Adrenergic signaling in cardiomyocytes","129/5355","156/9045",1.88961950997477e-10,1.39411928291472e-09,5.03898535993271e-10,"26427/11555/17906/17896/17888/326618/140781/12295/14677/12288/11938/11932/14679/12313/11651/12297/11652/19047/18749/18747/11515/98660/27222/51792/16535/19053/56808/19046/12915/67821/12298/26931/20266/12315/23797/78977/67972/19052/432530/30955/104111/12299/54377/53313/320207/59032/26932/73086/20191/210044/12325/12294/71978/104110/223864/58200/29857/64082/224129/11512/12322/14682/225849/18797/12912/12292/21956/381290/11931/226849/11909/11550/14683/59069/22004/12913/20544/11937/320707/11513/11606/73699/75600/22003/11933/20271/14678/11928/80796/20272/12314/16526/18821/208647/18798/12293/19045/319734/52432/11911/235542/11549/104709/399548/56508/11607/18750/18795/231991/19094/26416/108058/20541/12043/12323/21770/11936/17897/26417/26413/12916/11464/81904/23828/54378/110893/21924/19054/434233",129
"mmu01521","mmu01521","EGFR tyrosine kinase inhibitor resistance","72/5355","79/9045",2.21872750712895e-10,1.60134246166698e-09,5.78798480120596e-10,"18596/13649/18595/18015/110157/18591/11836/11651/109880/26362/12028/20848/11652/26395/16001/12048/17295/19211/18803/13867/23797/16000/216148/72508/56637/22339/20662/16452/58988/12015/15461/18590/26987/12125/20779/18706/18176/16194/13645/54635/13684/20104/16451/18710/56717/21802/16653/14456/13685/14388/18709/71785/74769/234779/20663/26396/271849/14173/18707/18708/20416/56484/18750/18751/14184/12043/14784/13866/16542/26417/26413/18752",72
"mmu05214","mmu05214","Glioma","68/5355","74/9045",2.82136224541192e-10,1.99296226697183e-09,7.20347807339214e-10,"13197/18596/13649/18595/110157/18591/11836/12313/11651/107986/109880/12028/11652/26395/16001/12567/19211/17873/13557/18803/242705/12315/23797/16000/17246/216148/23882/27015/12325/19645/12575/20662/12322/15461/18590/18706/18176/13645/18710/56717/21802/16653/52163/18709/75600/74769/80796/234779/20663/26396/271849/12314/18707/12571/18708/20416/12578/18750/18751/108058/12018/12323/22059/14784/26417/26413/12443/18752",68
"mmu05168","mmu05168","Herpes simplex virus 1 infection","334/5355","459/9045",3.66070310663205e-10,2.5319863154205e-09,9.15175776658012e-10,"12266/54123/69550/15007/102635315/72154/16402/18636/11651/22776/13163/16391/22084/22700/54131/224893/224045/12317/12028/224694/11652/16151/12122/19047/243834/217715/20815/27103/12048/18987/53319/233056/69930/19046/68652/14991/67996/228876/110809/23797/11783/15979/56480/67933/27274/21408/545938/69944/16416/18035/13665/20384/22031/20963/212281/66513/71591/15980/15975/15976/239652/675812/22712/22709/19106/225027/208292/21356/21355/72512/16149/14102/16452/19697/12015/21681/12675/101095/12370/20846/20684/18986/22033/64930/71586/332579/22030/22034/14827/20779/18706/16159/24088/18033/26409/22696/16451/108067/18710/57317/12371/19744/56717/13667/209354/108014/231866/23961/15467/72720/21937/22775/233147/213011/212569/210105/54678/71163/78921/14082/27081/15161/16179/13685/16150/12367/142980/13666/18709/71609/22751/11796/58235/54721/71640/74769/17874/246728/223669/241944/319615/619331/20382/69020/232854/72180/15015/22715/14960/18854/22698/56314/21354/228607/15000/22718/14998/230162/71063/18707/20847/230073/19045/18708/56220/230979/56489/330788/19247/214779/234725/30944/69234/101197/434377/233893/74352/54201/106759/192651/233890/22693/56525/237758/71131/22719/78834/233057/67911/22648/22710/22704/330301/234413/57745/232784/246730/12702/240067/224691/15042/243906/269997/237775/66869/319535/384763/239546/330463/22643/22755/431706/238690/22640/243308/236193/15039/233168/210104/112415/210135/12043/11797/24132/244713/69228/12018/104349/218314/235047/100416706/24135/22746/233058/233987/432769/380855/242747/235028/22059/408067/266632/234358/72723/56009/72128/243833/234362/77519/15018/14969/12010/14972/408062/381067/57782/22654/22689/240120/232853/19294/272347/210503/22690/237411/338354/22688/76373/13063/24014/235050/232855/170938/15040/240068/73451/240034/381066/224585/668923/104348/70227/238692/235956/434179/73430/20383/74149/235907/238693/72306/22750/108167848/110557/14964/14961/67607/101835/244556/243905/22756/56869/414758/100041677/101604/72556/665211/626802/668039/626832/627914/665001/15024/14999/56707/78251/636741/620419/434178/240064/240066/212276/22759/240038/449000/73610/100233208/170763/330502/629016/73729/434233/108168395/71508",334
"mmu05213","mmu05213","Endometrial cancer","55/5355","58/9045",6.20358303324222e-10,4.20324401436003e-09,1.51924482446748e-09,"13197/13649/12006/110157/21414/11836/11651/107986/109880/12028/11652/26395/11789/12387/13712/19211/17873/23797/23805/23882/27015/17869/56637/12575/18607/12005/20662/12015/21416/15461/18706/18176/13645/18710/12371/16653/16202/18709/74769/17350/20663/26396/12385/18707/18708/56484/21415/12018/22059/14784/216033/13866/26417/26413/12443",55
"mmu04666","mmu04666","Fc gamma R-mediated phagocytosis","82/5355","93/9045",7.12403487642393e-10,4.73035915794549e-09,1.70976837034174e-09,"18783/227753/18753/14130/22324/22376/242894/110157/11651/19353/20259/11652/14389/26395/12929/76709/12540/67771/22325/17969/18803/12928/23797/66713/16886/72508/18806/218038/20963/19012/17909/13196/30948/58988/16331/74117/19264/74192/18706/18805/18720/67916/18710/242687/56378/56443/11867/16885/22323/18479/18709/74769/16332/19354/13430/57257/234779/18717/230837/18707/18708/17096/53357/11845/18754/329502/18750/50784/211914/18751/12631/56632/330662/14131/20698/12632/26417/26413/17118/18752/68089/211429",82
"mmu04210","mmu04210","Apoptosis","113/5355","136/9045",1.45462052366449e-09,9.46929438934528e-09,3.42263652626938e-09,"13197/13038/14281/22142/16476/20740/13040/26420/19249/11465/110157/11651/170770/13163/12028/11652/16151/12122/26395/12048/13033/17873/13804/64138/23797/11783/18952/78943/53859/18035/13665/19766/23882/13039/26419/13030/21933/22143/235587/18607/16906/14102/19697/12333/12015/12369/12675/13198/15461/11798/12364/12370/12633/22145/11545/12334/69601/22030/12125/18706/18176/12368/229445/16905/18033/18710/12371/13347/13368/66593/11461/12366/16438/53857/16653/16439/21937/13032/14082/16150/12367/13666/18709/71609/11796/13036/74769/11920/26396/11546/26926/17210/22035/18707/18708/11911/16440/22146/328417/12043/11797/12018/22059/16907/26417/26413/13063/64704/16188/26408/12983/12984/56464",113
"mmu04015","mmu04015","Rap1 signaling pathway","167/5355","214/9045",3.02577849092357e-09,1.90821436809986e-08,6.897160366626e-09,"21825/14745/18596/13649/22324/16414/18595/17311/14677/16409/11465/14679/18053/14177/110157/18591/79264/12313/11651/19353/244668/109880/21844/18760/11652/64143/18654/26395/14186/16001/16337/11515/16590/56513/12929/21687/13836/12540/12387/11848/56044/17295/22325/12977/18803/12928/170758/18643/26397/12315/23797/16000/11540/14257/432530/26399/382562/104111/16416/14026/210044/14180/23880/104110/11600/223864/29857/224129/11512/13800/22339/75292/106952/12978/14682/18797/22340/74055/15461/16412/93742/18590/54354/54519/19730/14178/14683/20779/18706/18441/18645/18176/13636/13645/54635/21894/18710/18762/11461/14254/16653/22323/74206/16408/14205/11601/22341/14182/80857/11513/14681/18709/12927/71785/75600/74769/17532/14678/19395/19354/57257/80796/227377/12388/16399/26396/238130/12314/14164/14173/192786/18759/20130/107746/18707/18798/50791/101540/110351/18708/217944/217692/15901/58220/14924/14062/56508/14065/18750/18795/99470/215449/70549/18751/19094/26416/14184/93737/20469/76089/16542/26417/26413/17356/109905/240168/18752",167
"mmu04933","mmu04933","AGE-RAGE signaling pathway in diabetic complications","87/5355","101/9045",3.09252944657055e-09,1.90821436809986e-08,6.897160366626e-09,"17390/12825/12843/14268/12842/12826/12827/18753/16476/12830/12829/13058/26420/14066/11651/19353/21803/12576/12028/20848/20850/11652/12540/12567/21812/18799/18803/23797/20851/72469/21809/13614/26419/29857/22339/18712/13367/17128/17126/16452/19697/18797/22340/74055/15461/20846/18802/18706/18176/22329/18033/18710/18127/18762/16653/50490/14205/22341/12367/18709/11606/17127/21813/74769/18018/234779/15894/18787/13653/21808/18707/18798/18708/56458/18754/11607/18750/18795/18751/19094/26416/12043/26417/26413/12443/21824/12828",87
"mmu03040","mmu03040","Spliceosome","128/5355","158/9045",3.1037221649817e-09,1.90821436809986e-08,6.897160366626e-09,"17149/53817/50783/66618/66492/66877/67465/68879/20641/67959/74351/320632/66070/68183/15482/27756/20639/68988/67039/15481/70767/67996/110809/67439/72654/69878/67332/20222/193116/72047/13207/192159/20624/66354/20384/212880/15387/56215/68092/20462/54614/71702/68816/225027/20630/225160/69192/56070/27366/66810/28000/319322/76479/21681/192170/73666/81898/20638/66642/66921/53317/433702/56031/14105/68592/75062/57317/13204/108014/101214/57905/66441/60321/22185/68981/233908/19655/54633/78651/55934/67958/101943/20382/67678/217207/66094/76938/66055/331401/64340/60365/71713/231889/20227/67229/51810/11834/107686/76522/15382/23983/27967/28035/68011/229279/76936/15512/56009/66101/15381/56194/68479/53607/108121/20826/20637/230596/70052/107701/20383/66585/66125/233073/20643/15511/66373/193740/100042165",128
"mmu05418","mmu05418","Fluid shear stress and atherosclerosis","120/5355","147/9045",3.97831298699016e-09,2.40145438487406e-08,8.67995560797853e-09,"17390/14859/14281/56615/11898/16177/16476/20969/12562/26420/11465/14872/12390/18591/23939/12313/14871/103140/11651/19353/26400/50868/18104/14866/68312/11652/16151/59004/56551/15368/17260/13057/12387/12389/11848/63873/18412/18024/17969/20971/17395/170758/12315/23797/22027/20610/26399/16416/18613/170930/15519/13614/13039/12166/12159/26419/15529/14083/29857/15516/22339/19252/19697/14873/12675/18590/22218/17970/66447/11477/16410/20779/18706/14865/22329/16800/18033/26409/22166/108079/18710/18127/18762/11461/21937/17258/16150/18791/18709/75600/14860/74769/19354/26398/80796/14733/16399/12314/15894/14869/18707/14863/18708/105787/11480/12167/19094/26416/16598/12043/14862/23938/22059/14870/11481/12391/16542/12168/26408/21824",120
"mmu04390","mmu04390","Hippo signaling pathway","127/5355","157/9045",4.29076501810394e-09,2.54381068930448e-08,9.19449646736558e-09,"14563/12160/12445/16414/14368/21679/13385/12162/14371/93960/14362/14219/11465/216795/12006/12444/21414/53310/170770/21678/21803/13544/19047/56513/11789/68473/12387/51792/21812/18016/19053/56289/19046/22411/54401/22629/23805/103583/19052/16897/15902/217325/22627/13543/64010/56217/21809/72293/71228/12166/12159/50523/22418/71978/16475/22631/56274/17869/27373/105782/20583/13383/56637/22410/12005/17128/17126/21416/104318/12234/29806/93742/17131/209456/12156/97064/22414/18762/13542/11461/93735/22419/21677/17125/11796/73699/17127/21813/12163/22420/101543/14164/22417/14370/18787/18759/12385/12161/21808/16798/19045/14369/27494/52432/15901/232157/58220/14367/319710/14633/14366/57265/242316/22628/12167/22601/21676/21415/93737/11797/216033/12695/12168/12443/22630/93897/434233",127
"mmu03420","mmu03420","Nucleotide excision repair","42/5355","43/9045",4.68322358124473e-09,2.72777233153202e-08,9.85941806577839e-09,"68275/14885/107986/13870/19358/14884/18973/68240/18972/17420/66671/23894/71991/56438/50505/106344/19718/13872/13194/69745/22592/18538/22590/59001/19359/19891/19687/72151/209357/66979/22591/13871/67967/72584/26370/99375/69263/66467/18971/319955/16881/12572",42
"mmu05161","mmu05161","Hepatitis B","131/5355","163/9045",5.42796643844057e-09,3.10704285786598e-08,1.1230275389877e-08,"54123/26427/14281/16476/26420/110157/13205/11836/11651/107986/20852/109880/21803/26400/54131/12028/20848/20850/11652/16151/12122/26395/21812/22335/13712/12915/68652/13557/17395/54401/26397/242705/54411/23797/11783/56480/26399/20851/18035/21809/22031/26401/26419/19645/22631/17869/66513/12914/29857/15975/12575/73181/20662/17128/13194/14102/16452/19697/12015/12675/12566/15461/12364/12912/12370/20846/71586/11909/22034/18538/18019/20779/18706/12428/18176/24088/18033/12448/26409/12913/16451/18710/15530/12371/16653/14082/16179/16150/12367/142980/16453/18709/18021/117149/54721/17127/21813/74769/17874/18018/26398/20663/26396/228607/13654/208647/21898/21808/18707/20847/230073/18708/56489/11911/106759/18750/18751/231991/19094/26416/328572/12043/19229/22059/266632/14784/26417/26413/13063/22630/18752",131
"mmu04110","mmu04110","Cell cycle","104/5355","125/9045",5.69718792777302e-09,3.20587524071296e-08,1.15875008700468e-08,"13197/229776/12577/12445/12544/12444/21803/17216/12576/17218/22642/12567/17222/104394/17873/13557/54401/22629/242705/15182/52717/17246/56371/30939/217232/22627/21809/23882/66671/19645/22631/19357/17869/56438/12914/19090/17217/56637/12575/268930/52563/17128/17126/13006/66156/12566/20843/18393/17219/26428/11350/99152/12531/18538/13559/19650/12428/12448/12580/433759/71890/26429/52206/56317/59008/50883/17120/26965/17220/56150/75430/22390/19651/56452/17127/245000/211586/12530/218294/11920/69010/21402/68999/20842/69957/21781/21808/50793/12571/24061/17215/12578/55948/22628/27401/328572/22059/66440/12237/12572/12443/12579/22630/12581",104
"mmu05135","mmu05135","Yersinia infection","111/5355","135/9045",6.86955047185407e-09,3.80115126109259e-08,1.37391009437081e-08,"14268/14281/22324/16476/22376/215280/26420/242894/11465/16402/11651/19353/26400/54131/20111/11652/16151/109333/26395/12929/76709/12540/11848/67771/22325/68652/18803/140579/12928/170758/26397/23797/56480/66713/19878/26399/18035/110596/26419/23880/66513/14083/29857/56637/20112/19877/14682/19697/12675/108100/16412/12362/22637/74117/74192/22030/16401/22034/18019/20779/18706/18720/18033/26409/18710/242687/56378/19303/11461/56443/11867/16885/73178/110651/16179/54126/16150/18709/18021/12927/74769/17874/18018/19354/26398/57257/18717/26396/68524/21898/18707/16801/140580/18708/26431/11845/106759/19094/26416/320795/330662/54353/19229/69632/14131/266632/26417/26413/56212/68089/330319",111
"mmu04520","mmu04520","Adherens junction","64/5355","71/9045",7.11963945215746e-09,3.87495130838734e-08,1.40058481026048e-08,"13649/19268/15170/22376/29875/19271/11465/14158/21414/19353/16001/16337/12540/12387/21812/11848/17295/22612/109711/18099/170758/14360/19263/22330/12914/58998/20583/13001/17128/21416/20411/108100/93742/19246/20779/26409/242687/11461/73178/21872/14182/58235/17127/21813/380928/19354/19274/227377/12388/99167/12385/20613/11431/13000/60595/328572/21415/216033/19294/13866/26417/26413/17356/12995",64
"mmu04213","mmu04213","Longevity regulating pathway - multiple species","57/5355","62/9045",8.0114155523025e-09,4.28998381187811e-08,1.55059655851016e-08,"384783/11651/20480/11652/18749/18747/16001/16337/11515/241113/20656/15482/67605/15481/23797/15182/16000/93759/13688/432530/72508/104111/210044/104110/224129/20655/11512/58988/15461/74370/12359/18706/18176/108079/18710/433759/108099/56717/19079/16653/11513/18709/12955/74769/11793/108097/18707/18708/56458/16369/56484/105787/16367/15512/19082/15511/193740",57
"mmu04360","mmu04360","Axon guidance","143/5355","181/9045",9.54218644574861e-09,5.0285807936326e-08,1.81755932299974e-08,"20563/20315/18186/13846/140571/19876/67268/20356/20564/12162/259302/14677/108151/18208/57764/270190/140570/14679/110157/20359/13642/319757/19353/56513/13845/13836/12540/11848/17295/18803/170758/20358/14360/107449/16886/19878/20354/19206/218397/19056/12325/218877/22418/12934/19057/14083/117606/224105/56637/13800/73181/18607/19877/12322/20562/226251/15461/16412/93742/107448/20353/13838/14270/18845/11350/214968/18019/20779/18706/22065/18176/13636/20351/19055/13841/13844/18710/20348/20346/12568/18762/231148/65254/16885/243743/13848/18844/22419/16653/20352/70584/18479/16202/13641/16728/18846/18709/18021/18007/74769/17973/20187/14678/319713/22063/269473/19354/19058/234779/245857/20350/67938/171171/22417/237860/20361/20130/20360/18707/18708/231637/19247/58220/12767/18750/12167/14159/235611/108058/223881/12631/93737/12323/20347/69632/50780/12632/26417/26413/17974/12168/98932/244058",143
"mmu04921","mmu04921","Oxytocin signaling pathway","123/5355","153/9045",1.54359882875814e-08,8.00741892418283e-08,2.8942478039215e-08,"14281/18783/13649/16519/16476/12295/14677/11465/12288/14679/110157/23939/12313/12297/19047/26395/18749/18747/11515/17260/241113/11848/13712/56808/19046/12298/232807/12315/17931/432530/30955/19878/104111/12299/54377/320207/20191/210044/19056/12325/12294/19057/104110/107589/224129/54720/11512/12575/73181/19877/12322/14682/18797/15461/19735/12292/228785/14683/18019/20779/18176/18160/54195/19055/230103/108079/108099/18127/12494/207565/19079/11461/16438/16653/52163/16439/20190/11513/14681/18021/75600/14678/18018/80796/60596/19058/13629/26396/13631/12314/108097/216459/18798/12293/19045/319734/16518/16515/16440/238564/104709/18430/329502/105787/18750/18795/18751/108058/20192/12323/23938/26417/26413/19082/98932/81904/12443/329251/54378/18752/17904/211429/434233",123
"mmu04012","mmu04012","ErbB signaling pathway","73/5355","84/9045",2.60492377786128e-08,1.33051491423068e-07,4.80909005143621e-08,"13649/16476/26420/208650/110157/11836/11651/109880/26400/12576/20850/11652/26395/12929/13712/18803/12928/13867/23797/216148/72508/20851/12325/26419/17869/14083/224105/56637/12575/20662/15200/12322/58988/12015/15461/11352/11350/20779/18706/18176/13645/18710/56717/21802/16653/70584/18479/13685/14388/18709/83961/74769/17973/26398/234779/12402/20663/26396/271849/18707/18708/20416/18750/18751/108058/12323/14784/13866/26417/26413/17974/18752/12223",73
"mmu05414","mmu05414","Dilated cardiomyopathy","80/5355","94/9045",4.36921566624605e-08,2.1978478805965e-07,7.94402848408372e-08,"192897/17906/17888/326618/319480/140781/16773/12295/11465/12288/320910/16421/11938/16402/16400/20391/13726/21803/12297/18749/18747/11515/56808/16398/12298/16000/24052/432530/104111/16416/12299/54377/53313/21809/20191/210044/12294/104110/16419/224129/11512/16404/16412/13346/12292/21956/241226/16420/16401/16410/16403/14683/59069/16905/22004/24051/11461/11937/11513/11606/22003/16399/24053/18821/104099/21808/13138/12293/319734/109700/13405/22138/20541/17897/11464/81904/54378/110893/213119/21924",80
"mmu03020","mmu03020","RNA polymerase","32/5355","32/9045",4.99766245482555e-08,2.47645363433146e-07,8.95103723252337e-08,"67065/66420/20020/69920/28071/245841/78929/69241/218832/12909/20017/70408/74414/69870/64424/231329/20018/26939/20021/28015/69833/70428/67486/66136/66491/67005/20022/17749/70333/20019/20016/67710",32
"mmu04146","mmu04146","Peroxisome","74/5355","86/9045",5.29552392411964e-08,2.58546168059959e-07,9.34504221903465e-08,"15488/18126/13850/67528/26458/235674/59038/224824/19298/74114/19305/71382/20656/170789/103737/14081/56535/18634/72129/216739/11430/19300/23986/56794/28200/17117/20524/93734/74147/20655/22436/67993/54683/433256/212503/15926/111175/16922/12908/12359/18633/68603/18632/19299/20280/15356/18477/56273/668173/80911/19301/76263/330450/269951/18631/67420/50790/11666/14712/74205/110959/234384/113868/26378/19302/17855/228061/51798/26874/70503/74043/69129/56690/17527",74
"mmu04066","mmu04066","HIF-1 signaling pathway","94/5355","114/9045",7.5740074609506e-08,3.64430503918203e-07,1.31721868886097e-07,"13649/230163/22041/13058/18126/56421/15277/11651/12576/20848/11652/13807/26395/15368/16001/16337/21687/228026/11863/18803/23797/15979/16000/17347/18641/72508/15251/13614/68263/12325/11600/56438/12914/22042/15980/12575/22339/71745/12322/58988/19697/26987/170768/18706/16194/13645/13684/18033/20104/20525/18710/17346/18127/56717/14254/16832/17000/11674/18597/11601/13685/18709/112405/74769/18642/22346/234779/26396/112407/15275/18787/21898/18707/18708/18750/18751/108058/328572/67673/12043/14433/12323/112406/433182/353204/13808/18655/13866/26417/16828/26413/13806/18752/67923",94
"mmu04071","mmu04071","Sphingolipid signaling pathway","101/5355","124/9045",8.5725646343248e-08,4.06584494085119e-07,1.46958250874139e-07,"14127/14677/26420/11886/14679/14673/110157/11651/19353/12028/11652/12122/14389/26395/51792/11848/13033/67260/19053/19211/76893/26931/170758/23797/20598/14360/20397/19052/19878/14674/18806/59032/20773/26932/81535/12062/268656/26419/71978/29857/71949/17250/18607/19877/14682/225849/54447/19697/18797/15461/226849/22030/241447/18706/18805/18176/18033/18201/18710/18127/18762/16653/21937/18709/71609/73699/74769/14678/19354/26396/20597/230379/13244/18707/18798/208449/18708/52432/11539/235542/14739/13611/18754/13609/74442/18750/18795/18751/19094/26416/12043/56632/21770/22059/20698/26417/26413/13610/26408/18752/19054",101
"mmu05145","mmu05145","Toxoplasmosis","91/5355","110/9045",8.98183373634224e-08,4.19995605699383e-07,1.51805640614235e-07,"23928/16777/18126/16773/16154/14677/26420/54396/14679/11651/21803/20848/11652/16151/15482/12048/16776/15481/68652/26397/23797/16775/15979/30955/26399/320207/18035/21809/105675/26419/66513/12265/29857/15980/16155/18607/16774/16452/19697/12015/12675/11689/16412/11798/12370/20846/226519/16782/16780/16403/22034/16159/24088/18033/26409/16451/12371/21937/18036/16179/16150/12367/14681/11796/54721/16835/17874/14678/14960/15000/14998/21898/21808/104709/15944/16779/19094/26416/12043/11797/266632/15512/14969/26417/26413/13063/14961/16145/14999/15511/193740",91
"mmu05215","mmu05215","Prostate cancer","83/5355","99/9045",1.01142113239893e-07,4.66377522161731e-07,1.68570188733156e-07,"26427/18596/13649/18595/110157/18591/21414/11836/11651/109880/12576/11652/16151/26395/16001/12387/104156/19211/13557/17395/242705/23797/22027/16000/17246/18035/15519/18792/19645/12914/56637/12575/15516/18607/21417/20662/19697/12015/21416/12675/12566/15461/18590/12912/18706/18176/13645/54635/18033/12448/12913/18710/12371/56717/21802/16653/16150/18791/14182/18709/71785/74769/20663/26396/14869/208647/18707/13876/18708/11911/56458/11835/231991/328572/21415/12043/22059/14784/14870/13866/26417/26413/12443",83
"mmu03050","mmu03050","Proteasome","44/5355","47/9045",1.10199504675291e-07,5.011813089342e-07,1.81149870699108e-07,"19182/19185/19172/21762/19170/19166/22123/69077/19175/19184/66997/26443/19179/66413/67089/19173/19186/16913/23997/70247/19177/59029/26444/26445/19181/67151/66537/57296/23996/26440/19171/26441/228769/56436/17463/103554/20422/19167/26442/26446/621823/19192/19188/16912",44
"mmu05410","mmu05410","Hypertrophic cardiomyopathy","77/5355","91/9045",1.32372411054467e-07,5.938870333795e-07,2.14657963872108e-07,"192897/17906/17888/326618/319480/140781/16773/12295/11465/12288/320910/16421/11938/16402/16400/20391/13726/21803/12297/241113/56808/16398/12298/16000/24052/11421/16416/12299/54377/53313/21809/20191/13614/12294/16419/16404/16412/13346/12292/21956/241226/16420/16401/16410/16403/59069/16905/22004/108079/108099/24051/19079/11461/11937/11606/22003/16399/24053/108097/104099/21808/13138/12293/319734/109700/13405/105787/22138/20541/17897/19082/11464/81904/54378/110893/213119/21924",77
"mmu00562","mmu00562","Inositol phosphate metabolism","63/5355","72/9045",1.37502312810322e-07,6.08676904707024e-07,2.20003700496515e-07,"320634/233011/19062/18799/19211/53332/18803/170749/108083/71780/30955/72469/104776/75678/219135/104015/21991/20975/114663/17330/18797/74055/84095/83493/117150/212111/18711/16329/269180/18802/16331/240752/18718/64436/55980/18706/18720/16330/67073/97287/18704/52858/17772/77116/74769/16332/225326/234779/74302/170835/18717/234515/103199/320404/107650/54384/18707/18798/224020/101490/18795/217837/69718",63
"mmu04260","mmu04260","Cardiac muscle contraction","74/5355","87/9045",1.49038261289833e-07,6.51061878266111e-07,2.35323570457631e-07,"17906/17896/17888/326618/140781/12295/12288/11938/11932/12858/12297/98660/27222/84682/56808/12864/67821/12298/12867/76757/66594/12299/54377/53313/20191/67530/12294/66445/20463/12869/22273/12292/21956/11931/12373/59069/65973/22004/20544/11937/12862/67003/66142/12857/12866/22003/11933/11928/12868/110323/236727/15464/66694/12293/319734/12861/22272/20541/11936/66152/17897/236794/12859/66576/17708/17709/17710/17711/11464/81904/12865/54378/110893/21924",74
"mmu04926","mmu04926","Relaxin signaling pathway","104/5355","129/9045",1.53041206356884e-07,6.59865980655655e-07,2.38505776140598e-07,"17390/12825/12843/12842/12826/12827/26427/14281/13649/16476/11475/12830/12829/18126/14677/26420/14679/110157/11651/21803/26400/11652/26395/18749/18747/11515/21812/12915/17395/109689/23797/216148/432530/104111/18035/13614/210044/26419/13618/104110/29857/224129/11512/14695/22339/20662/17126/19697/18797/22340/15461/12912/11909/14683/20779/18706/14696/18176/18033/12913/18710/18127/18762/14688/18125/14693/16653/14205/22341/11513/14681/18709/14697/21813/74769/14678/66066/26398/20663/26396/271849/14701/14700/208647/14710/18707/18798/18708/11911/20416/14702/14708/18750/18795/231991/19094/26416/14784/216869/26417/26413/14707/14704/12828",104
