symbol,logFC,FDR
Eepd1,-0.424442729451897,0.027867934393688
Boc,-0.803648376156843,0.0281861605542451
Ankrd9,-0.486177126045311,0.0283182715938372
Depp1,-1.24964002492484,0.0283182715938372
Cfh,-0.773931743069773,0.0287262672568206
Itga6,0.487114690601451,0.0287262672568206
Lmln,-0.600008846539871,0.0288802704402202
Slc30a2,-0.741312409594622,0.0290893291129501
Vgll2,0.644342332364871,0.0290893291129501
Cd302,-0.801173721612693,0.0290893291129501
Ccdc134,0.50174669651189,0.0290893291129501
Foxo3,-0.448073821761806,0.0296573698092092
Sesn1,-0.537890849794742,0.0296891642045223
Cirbp,-0.469710562968589,0.0298451618319422
Pfkfb4,-0.404441032866828,0.0298977005634434
Rhpn2,-0.539056337063455,0.0298977005634434
Itgbl1,-1.46030291932406,0.0298977005634434
Kdr,0.529343874273365,0.0298977005634434
Pygb,-0.569160194109645,0.0303504060449235
Ccdc80,-0.569793239465614,0.0308964875784202
Ptgis,-1.24341220369583,0.0309987396777242
Tnfrsf19,0.686193624407297,0.0313610069684789
Gm44769,1.26662051521449,0.0328687102608821
Fkbp5,-1.15065756404698,0.0330535350541978
Mamdc4,1.01029684207613,0.0330535350541978
Phgdh,-0.889048335978659,0.0330535350541978
Klhl40,0.412626196711116,0.0339205940064718
Golgb1,-0.370954652984394,0.0354531832130253
Zbtb44,-0.376640202027897,0.0356517316111493
Slc25a36,0.481615491507886,0.0357842674524829
Acaca,-0.460990133977795,0.0357860379695293
Cfd,-1.06220577534435,0.0358599317994891
Pdcd7,0.415527828455108,0.0362535163961983
Slc8a1,0.479223735502574,0.0362535163961983
Zfp120,-0.485426356913204,0.036284838763251
Cks1b,-0.971127942630748,0.0370214741190974
Nfatc2,0.508718313976956,0.0376423726048856
Ppp1r27,0.529870001838764,0.0376787884600648
Lrfn4,1.34659178039078,0.0376787884600648
Pygo1,-0.428269498381279,0.0378035512710637
Tex10,-0.420671142157944,0.0381117955739795
Sorbs2,-0.495122171185361,0.0382148379286084
Lrrc8d,0.462878128988275,0.0382148379286084
Hspa1l,0.459741703193541,0.0400727222544698
Col4a1,0.565961872126889,0.0400727222544698
Sox18,0.689385111222915,0.0400727222544698
Pik3cd,0.53915638947905,0.0401876916422326
Trappc4,0.479880171218373,0.0402854147478268
Ogn,-0.503806131455595,0.0415226623200104
Nup93,-0.496744613030392,0.0415226623200104
Obsl1,0.377899678242659,0.0418494098236626
Gm47641,-1.05501218725868,0.0418494098236626
Igdcc4,0.36778640201537,0.0419743894495271
Gadd45a,-0.667252134057133,0.0419743894495271
Chpf2,-0.37809107679197,0.0419743894495271
Mfsd4b3-ps,0.894529227893702,0.0419743894495271
Prg4,-1.21308403156948,0.0422066278107979
Fmod,-1.80201433037347,0.0422066278107979
Gm26714,0.948425966363199,0.0428259356885201
Lrrc52,1.08783871576997,0.0428303589781738
Krt8,-1.69126945356317,0.0428303589781738
Oaf,0.677475362261148,0.0428741402445919
Irs2,0.67802969939043,0.0431086889001737
Tpra1,0.471262373778174,0.0432555268398032
Stk26,-0.892614183605753,0.0432555268398032
Gm49322,1.41417266547498,0.0432555268398032
Stbd1,0.521121217529756,0.0432555268398032
Kcnma1,0.566199757029365,0.0432598612721851
Gcc2,-0.413351585301368,0.0433590156569483
Crem,0.520700955066922,0.0433590156569483
Rbmx,-0.409488942957271,0.0438253403552126
Comp,-1.83936494704337,0.0438253403552126
Fgfbp1,0.660271311895441,0.0438253403552126
Otub2,0.562507908977015,0.0439945835212716
Gm34455,0.951858174471361,0.0441452554975262
Myoz2,0.765632275227986,0.0444753869008834
Ankrd2,1.16165424535742,0.0446713371845534
Oas2,1.22548815099055,0.0446713371845534
Eif5a2,-1.25386046737426,0.0449883906961641
Col5a3,0.516153570239532,0.04504871645002
Hdac9,0.637703059540231,0.0462503933076191
Timp2,-0.526386420044072,0.0463107068084619
Mndal,1.00676780828105,0.0464221793255026
H2bc4,0.39259298631879,0.0466853096717531
Slc41a3,0.447311941181466,0.0466853096717531
Gm15851,-1.41055347933639,0.0469047667651268
Tarbp1,0.42394883200554,0.0470856883313384
H1f4,0.650194863199048,0.0476782938901688
Cidec,-1.28202849217894,0.0477991759921272
Gm15337,0.755473847727938,0.048225156784226
Ubiad1,0.390007232873608,0.0486429461646064
Pgam1,0.405226120965447,0.0487062831459208
Slc20a1,0.383520671240147,0.0487062831459208
Gm20634,0.533634335658068,0.0487062831459208
Trim63,-0.596014436495964,0.0491173936404636
Mcph1,-0.609378531647554,0.0497153792144633
Padi2,0.448551461873878,0.0497793009089415
